feature,importance
"cat__skills_CSS, Python",1.3848139159618709
"cat__skills_Data Analysis, Lab Techniques",1.116355534317273
"cat__skills_Java, Data Structures",0.9777241441436214
"cat__skills_CSS, Java",0.832945629849461
"cat__skills_Lab Techniques, Data Analysis",0.8312211288546334
"cat__skills_Algorithms, Java",0.8157396443117735
"cat__skills_C++, Algorithms",0.7848383566047182
"cat__skills_Python, Java",0.7524081868444674
"cat__skills_CSS, HTML",0.7471401981178223
"cat__skills_HTML, Java",0.6648164778039614
"cat__skills_HTML, CSS",0.6533572587388026
"cat__skills_Data Analysis, Microscopy",0.6126690645773689
"cat__skills_Java, Python",0.5762323025127263
"cat__skills_HTML, Python",0.5735323868141478
"cat__skills_Machine Learning, Algorithms",0.5390245711605056
"cat__skills_Java, Algorithms",0.5354553817014669
"cat__skills_Data Structures, Algorithms",0.5138043029485373
"cat__skills_Mathematica, Data Analysis",0.4978036723108518
"cat__skills_SQL, CSS",0.4886350777571747
"cat__skills_Algorithms, Machine Learning",0.45503831442459575
"cat__skills_Teaching, Writing",0.4392084861969215
"cat__skills_Lab Equipment, Simulation",0.4351895770399457
"cat__skills_Machine Learning, C++",0.42956880335325015
"cat__skills_Simulation, Quantum Mechanics",0.42828858763155864
"cat__skills_Java, SQL",0.4196579159827088
"cat__skills_Writing, Teaching",0.41525372585435544
"cat__skills_Teaching, Translation",0.41445551599300046
"cat__skills_Public Speaking, Writing",0.40847611065511635
"cat__skills_Simulation, Lab Equipment",0.40771278374955744
"cat__skills_CSS, SQL",0.3915308781792695
"cat__skills_Editing, Public Speaking",0.3877756980675099
cat__major_Political Science,0.38459905952175966
"cat__skills_Lab Techniques, PCR",0.380182131141917
"cat__skills_Data Structures, C++",0.3786480185073483
"cat__skills_Vitals Monitoring, First Aid",0.3599793960166299
cat__major_Physics,0.3554780447874301
"cat__skills_Python, CSS",0.34468644064234943
"cat__skills_Microscopy, Lab Techniques",0.3346322987383867
cat__major_English,0.3288031088329853
"cat__skills_Statistics, Mathematica",0.32790392109879024
"cat__skills_Statistics, Data Analysis",0.32370145925684485
"cat__skills_HTML, SQL",0.3209688221981517
"cat__skills_SQL, HTML",0.3049042088239123
"cat__skills_Literary Analysis, Editing",0.3042249586641403
"cat__skills_Translation, Writing",0.3014992662588343
"cat__skills_PCR, Lab Techniques",0.2969581701285407
"cat__skills_History, Geography",0.28936465410251083
"cat__skills_Literary Analysis, Writing",0.27262242129540687
"cat__skills_Python, HTML",0.27176948892228564
"cat__skills_Public Speaking, Editing",0.2656362923629206
"cat__skills_SQL, Java",0.25840906784766043
"cat__skills_Java, C++",0.25527071020795716
"cat__skills_Data Analysis, PCR",0.24494459631254487
