feature,importance
internship_experience,0.1493065098467454
cat__major_Physics,0.0517385481549076
gpa,0.049943311764934384
"cat__skills_Vitals Monitoring, First Aid",0.04904116138834984
cat__major_Political Science,0.039805403727266715
"cat__skills_History, Geography",0.03579461676148931
"cat__skills_Writing, Teaching",0.035533539869756846
"cat__skills_Data Analysis, Lab Techniques",0.033962132831608156
"cat__skills_Mathematica, Data Analysis",0.03259467449828169
"cat__skills_Editing, Public Speaking",0.031008665958407237
"cat__skills_Statistics, Mathematica",0.030576927010602908
"cat__skills_Statistics, Data Analysis",0.030382168348137197
"cat__skills_Simulation, Lab Equipment",0.03016416039753786
"cat__skills_Simulation, Quantum Mechanics",0.02967838326057028
years_since_graduation,0.029569951755808892
graduation_year,0.029569951755763088
"cat__skills_Geography, History",0.028099177883040678
"cat__skills_Teaching, Writing",0.02649046684180897
cat__major_English,0.02633822726007235
"cat__skills_CSS, Python",0.025029899315202192
"cat__skills_Feeding Management, Animal Care",0.024688822522678806
"cat__skills_C++, Algorithms",0.024100823182276337
"cat__skills_Lab Techniques, Data Analysis",0.023797150056741944
"cat__skills_Java, Data Structures",0.023486470629354543
"cat__skills_Literary Analysis, Writing",0.0213837596486372
cat__major_Electrical Technology,0.02078241265928858
"cat__skills_Translation, Writing",0.020748538927008925
"cat__skills_Lab Equipment, Simulation",0.02033138623964457
"cat__skills_CSS, HTML",0.019705424218121877
"cat__skills_Quantum Mechanics, Simulation",0.017836359017106135
"cat__skills_Algorithms, Java",0.017008558087806887
"cat__skills_Editing, Writing",0.016942163227606277
"cat__skills_Teaching, Translation",0.016823512645130302
"cat__skills_Animal Care, Feeding Management",0.01634870587905753
"cat__skills_Circuit Design, Wiring",0.015939431191996
"cat__skills_Patient Care, First Aid",0.015902138490371608
cat__major_Biology,0.015216155351874552
cat__location_Lemery,0.01478804961349443
"cat__skills_PCR, Lab Techniques",0.014206055873381524
cat__degree_Bachelor of Industrial Technology,0.014165115437204313
"cat__skills_First Aid, Patient Care",0.013939159128071052
cat__degree_Bachelor of Science,0.013504780523851088
cat__location_Nasugbu,0.013375741697850425
"cat__skills_Java, Algorithms",0.01326498162898903
cat__major_Mathematics,0.013203195211765738
cat__major_Computer Science,0.013127181858438312
"cat__skills_CSS, Java",0.012990363242225689
"cat__skills_Microscopy, Data Analysis",0.012967723535261334
"cat__skills_Data Analysis, Microscopy",0.012566127167607365
"cat__skills_PCR, Data Analysis",0.012096976743369802
"cat__skills_Research, Policy Analysis",0.011897175403721342
"cat__skills_HTML, Python",0.011505227313149508
"cat__skills_CSS, SQL",0.011255132070248927
"cat__skills_Crop Management, Soil Analysis",0.011133566147473961
"cat__skills_Mathematica, Statistics",0.01088543070274104
"cat__skills_Public Speaking, Policy Analysis",0.010868612924755779
"cat__skills_Law Enforcement, Crime Scene Investigation",0.010788593563915816
"cat__skills_Lab Techniques, PCR",0.010632201292016771
"cat__skills_Research, Public Speaking",0.010623957263708855
"cat__skills_Java, Python",0.010553408232740017
"cat__skills_SQL, CSS",0.01046398520018746
"cat__skills_Python, Java",0.010402104256822585
"cat__skills_HTML, Java",0.010382980253041829
"cat__skills_Editing, Literary Analysis",0.010181158820883354
"cat__skills_Algorithms, Machine Learning",0.009836305172373853
cat__degree_Bachelor of Science in Criminology,0.009756529314997129
cat__major_Criminology,0.009756529314997129
"cat__skills_HTML, CSS",0.00958192238370107
"cat__skills_Python, CSS",0.009326165082595738
"cat__skills_Patient Care, Vitals Monitoring",0.009158037262633091
"cat__skills_Public Speaking, Research",0.008751904542900136
"cat__skills_Algorithms, C++",0.008556156295445755
cat__major_Animal Science,0.008340116643621073
"cat__skills_Algorithms, Data Structures",0.008184042884190786
"cat__skills_Data Structures, C++",0.008162636885461884
"cat__skills_SQL, HTML",0.008000412621764564
"cat__skills_Data Analysis, Mathematica",0.007831804690166847
"cat__skills_Machine Learning, Algorithms",0.007771335409659802
cat__major_Social Studies,0.007695438878448633
cat__major_Agronomy,0.00748744832781974
"cat__skills_Budgeting, Governance",0.00748277865612732
"cat__skills_Soldering, Microcontrollers",0.007481936092639615
"cat__skills_Data Structures, Algorithms",0.0072795889578404945
cat__location_Lipa,0.007214807225706845
cat__major_Information Technology,0.007123981381268782
"cat__skills_Writing, Public Speaking",0.006825286155141904
"cat__skills_Machine Learning, C++",0.006719084589682801
cat__degree_Bachelor of Science in Nursing,0.006620798603779512
cat__major_Nursing,0.006620798603779512
"cat__skills_Quantum Mechanics, Lab Equipment",0.00642307578478827
"cat__skills_Java, SQL",0.0062892257570277875
"cat__skills_Data Structures, Java",0.005762157001563508
"cat__skills_Java, C++",0.005751445997357466
"cat__skills_Microscopy, Lab Techniques",0.005624003026930467
"cat__skills_Writing, Translation",0.005464618729617558
"cat__skills_Microscopy, PCR",0.00533719522892965
