feature,importance
feature_0,0.06432489540888509
feature_17,0.03811038042463035
feature_24,0.03720261745641839
feature_15,0.0363526583321321
feature_25,0.035927117547092484
feature_22,0.03522342991171151
feature_16,0.034783255313391916
feature_21,0.03368485912929802
feature_28,0.032987402216620935
feature_27,0.032195863707810156
feature_31,0.029491076094657672
feature_19,0.028033605989958434
feature_7,0.027199412724432995
feature_20,0.02717828659980856
feature_5,0.026850426044484337
feature_14,0.025965402021754423
feature_12,0.02545257456769337
feature_13,0.025238213039783918
feature_8,0.024790189670980477
feature_3,0.02196904657039315
feature_30,0.021867207155105785
feature_26,0.02099389704716798
feature_29,0.019410227866187114
feature_9,0.01901324720879173
feature_18,0.0184211856245286
feature_10,0.01837988871795968
feature_11,0.018128406921769685
feature_6,0.01765927258025684
feature_1,0.01729905384762262
feature_68,0.0166961567074227
feature_2,0.016574580447087445
feature_23,0.015640453997548057
feature_4,0.0153066651859585
feature_69,0.00592040556867436
feature_98,0.005634093844876273
feature_64,0.005246334583803562
feature_60,0.005153915659142612
feature_50,0.005120412522440411
feature_128,0.005042598424232172
feature_38,0.004933476120850037
feature_48,0.004515003205326248
feature_75,0.004293321700523521
feature_137,0.00428869400431163
feature_89,0.0033751500141826294
feature_127,0.0033284561837086182
feature_39,0.003159824958038658
feature_65,0.002906049301716653
feature_33,0.002876554068401981
feature_32,0.0027791973249079354
feature_70,0.002464623611366265
feature_49,0.0020723951829577114
feature_63,0.001947285739673642
feature_84,0.0015824368005136055
feature_130,0.0015622790504625358
feature_138,0.0014958733215122554
feature_91,0.00147389682531379
feature_144,0.001461786909160973
feature_143,0.0014480593000269569
feature_141,0.001347658755040333
feature_117,0.0012968935469551497
feature_85,0.0012869163474663796
feature_110,0.0012726362843117872
feature_55,0.0011441807475029387
feature_107,0.0011135904054798056
feature_90,0.0011011041806295871
feature_108,0.0010862771807433667
feature_129,0.0010463292317199743
feature_125,0.0010252369727552987
feature_140,0.0009939844623295274
feature_97,0.0009937467273472456
feature_61,0.0009215337946065805
feature_134,0.0008889653251076637
feature_118,0.0008596043211720867
feature_135,0.0008366902643133692
feature_131,0.0008330869636108088
feature_62,0.0007828874854283163
feature_109,0.0007761918032972267
feature_133,0.0007558741762787365
feature_120,0.0007439901458087893
feature_139,0.000714344040848136
feature_96,0.0006804624920395335
feature_52,0.0006711121598492121
feature_111,0.0006631363991688845
feature_126,0.0006300346022603934
feature_142,0.0006164190218621789
feature_119,0.000573228113366753
feature_105,0.0005362804276098659
feature_106,0.0005248751193930247
feature_67,0.0005100779118320932
feature_37,0.000493727022893658
feature_102,0.000491991116820483
feature_86,0.0004661747895967358
feature_103,0.0004048757249006738
feature_88,0.00039650061156391387
feature_112,0.0003955471079398852
feature_136,0.0003912430043615136
feature_66,0.00036930925765889797
feature_132,0.00035375659268400815
feature_100,0.00032902522503429235
feature_54,0.0003264394459172274
feature_99,0.0003124250881106332
feature_101,0.00029646521873013723
feature_40,0.00029052825291043686
feature_93,0.00028743712318848007
feature_87,0.0002677887541495437
feature_104,0.0002357497769192935
feature_81,0.00022184778172193548
feature_34,0.00021614367209679306
feature_113,0.00020494177336865453
feature_72,0.00020425707881968524
feature_80,0.00020313654487077085
feature_82,0.00018499311782543628
feature_53,0.0001442564280180434
feature_122,0.00014195674193659286
feature_43,0.00012363323742399667
feature_73,0.00012062061433954991
feature_51,0.0001195482239352037
feature_44,0.00011669250141956048
feature_46,0.00011497109050154409
feature_92,0.00011323042928715362
feature_71,0.00010703931209591885
feature_47,0.00010579538696565039
feature_114,0.00010537327987583103
feature_36,0.00010446383345210972
feature_79,0.00010289501505271096
feature_115,0.00010194273720661538
feature_95,0.00010006131785042249
feature_59,9.556112184230323e-05
feature_78,9.501018218094282e-05
feature_121,9.448077650598659e-05
feature_45,9.447140027372245e-05
feature_57,9.371565866250639e-05
feature_94,9.343225220948277e-05
feature_123,8.178608329573017e-05
feature_116,8.104104711402061e-05
feature_35,7.573438958538097e-05
feature_58,7.144278150668151e-05
feature_83,7.136492183074832e-05
feature_56,6.624816021073761e-05
feature_76,5.9545077278605044e-05
feature_74,5.625575914354167e-05
feature_124,5.397499874189199e-05
feature_41,3.144751899581911e-05
feature_77,2.8976598454358462e-05
feature_42,2.829732511848049e-05
